"TOA5","EBM1","CR3000","8941","CR3000.Std.27","CPU:KC.EBM1_16.02.18.CR3","16128","DAR"
"TIMESTAMP","RECORD","BARO_P_SUR_Avg","HMP_M_RH_Avg","HMP_T_AIR_Avg","INK_G_INKS_Avg","INK_G_INKW_Avg","KT_T_SUR_Avg","LICOR_D_CD_Avg","LICOR_M_AH_Avg","OMB_N_N_001_Avg","OMB_N_N_002_Avg","PYG_R_LWDP_Avg","PYG_R_LWUP_Avg","PYG_T_BOT_Avg","PYG_T_TOP_Avg","PYR_R_SWDR_Avg","PYR_R_SWUR_Avg","SHF_F_SHF_001_Avg","SHF_F_SHF_002_Avg","SHF_F_SHF_003_Avg","SMT_M_SOIL_001_Avg","SMT_M_SOIL_002_Avg","SMT_M_SOIL_003_Avg","SMT_M_SOIL_004_Avg","SMT_T_SOIL_001_Avg","SMT_T_SOIL_002_Avg","SMT_T_SOIL_003_Avg","SMT_T_SOIL_004_Avg","Tsonic_Avg","Usonic_Avg","Vsonic_Avg","Wsonic_Avg","BARO_P_SUR_Min","HMP_M_RH_Min","HMP_T_AIR_Min","KT_T_SUR_Min","LICOR_D_CD_Min","LICOR_M_AH_Min","PYG_R_LWDP_Min","PYG_R_LWUP_Min","PYG_T_BOT_Min","PYG_T_TOP_Min","PYR_R_SWDR_Min","PYR_R_SWUR_Min","SHF_F_SHF_001_Min","SHF_F_SHF_002_Min","SHF_F_SHF_003_Min","SMT_M_SOIL_001_Min","SMT_M_SOIL_002_Min","SMT_M_SOIL_003_Min","SMT_M_SOIL_004_Min","SMT_T_SOIL_001_Min","SMT_T_SOIL_002_Min","SMT_T_SOIL_003_Min","SMT_T_SOIL_004_Min","Tsonic_Min","Usonic_Min","Vsonic_Min","Wsonic_Min","BARO_P_SUR_Max","HMP_M_RH_Max","HMP_T_AIR_Max","KT_T_SUR_Max","LICOR_D_CD_Max","LICOR_M_AH_Max","PYG_R_LWDP_Max","PYG_R_LWUP_Max","PYG_T_BOT_Max","PYG_T_TOP_Max","PYR_R_SWDR_Max","PYR_R_SWUR_Max","SHF_F_SHF_001_Max","SHF_F_SHF_002_Max","SHF_F_SHF_003_Max","SMT_M_SOIL_001_Max","SMT_M_SOIL_002_Max","SMT_M_SOIL_003_Max","SMT_M_SOIL_004_Max","SMT_T_SOIL_001_Max","SMT_T_SOIL_002_Max","SMT_T_SOIL_003_Max","SMT_T_SOIL_004_Max","Tsonic_Max","Usonic_Max","Vsonic_Max","Wsonic_Max","BARO_P_SUR_Std","HMP_M_RH_Std","HMP_T_AIR_Std","KT_T_SUR_Std","LICOR_D_CD_Std","LICOR_M_AH_Std","PYG_R_LWDP_Std","PYG_R_LWUP_Std","PYG_T_BOT_Std","PYG_T_TOP_Std","PYR_R_SWDR_Std","PYR_R_SWUR_Std","SHF_F_SHF_001_Std","SHF_F_SHF_002_Std","SHF_F_SHF_003_Std","SMT_M_SOIL_001_Std","SMT_M_SOIL_002_Std","SMT_M_SOIL_003_Std","SMT_M_SOIL_004_Std","SMT_T_SOIL_001_Std","SMT_T_SOIL_002_Std","SMT_T_SOIL_003_Std","SMT_T_SOIL_004_Std","Tsonic_Std","Usonic_Std","Vsonic_Std","Wsonic_Std","OMB_N_N_001_Tot","OMB_N_N_002_Tot"
"TS","RN","hPa","%","Deg C","degree","degree","Deg C","mg/m**3","g/m**3","mm/s","mm/s","W/m**2","W/m**2","Deg C","Deg C","W/m**2","W/m**2","W/m**2","W/m**2","W/m**2","","","","","","","","","Deg C","m/s","m/s","m/s","hPa","%","Deg C","Deg C","mg/m**3","g/m**3","W/m**2","W/m**2","Deg C","Deg C","W/m**2","W/m**2","W/m**2","W/m**2","W/m**2","","","","","","","","","Deg C","m/s","m/s","m/s","hPa","%","Deg C","Deg C","mg/m**3","g/m**3","W/m**2","W/m**2","Deg C","Deg C","W/m**2","W/m**2","W/m**2","W/m**2","W/m**2","","","","","","","","","Deg C","m/s","m/s","m/s","hPa","%","Deg C","Deg C","mg/m**3","g/m**3","W/m**2","W/m**2","Deg C","Deg C","W/m**2","W/m**2","W/m**2","W/m**2","W/m**2","","","","","","","","","Deg C","m/s","m/s","m/s","mm/s","mm/s"
"","","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Min","Min","Min","Min","Min","Min","Min","Min","Min","Min","Min","Min","Min","Min","Min","Min","Min","Min","Min","Min","Min","Min","Min","Min","Min","Min","Min","Max","Max","Max","Max","Max","Max","Max","Max","Max","Max","Max","Max","Max","Max","Max","Max","Max","Max","Max","Max","Max","Max","Max","Max","Max","Max","Max","Std","Std","Std","Std","Std","Std","Std","Std","Std","Std","Std","Std","Std","Std","Std","Std","Std","Std","Std","Std","Std","Std","Std","Std","Std","Std","Std","Tot","Tot"
"2016-02-25 14:50:00",0,993.59,44.10571,5.836588,0.759165,0.008428237,3.749763,761.3661,4.774235,0,0,-83.99458,-10.9506,6.564521,6.820238,96.74723,17.84194,68.68525,71.47588,66.029,0,0,0,0,0,0,0,0,8.281419,0.9477676,-0.1429525,0.05078732,0,0,0,0,0,0,-85.55821,-12.50514,0,0,0,0,0,0,0,"NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN",0,0,-1.68,-1.43,1000.828,45.57455,5.979492,3.826986,763.337,5.226045,0,0,6.6644,6.938555,101.1754,19.44427,88.05469,89.30253,87.78011,"NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN",8.511627,2.5,1.15,1.53,84.62068,3.816373,0.4981263,0.3202814,16.73603,0.1865122,7.169414,1.077455,0.5595843,0.5821319,8.420981,1.619683,7.109781,7.172112,7.544547,0,0,0,0,0,0,0,0,0.2029902,0.3478759,0.5095337,0.3924864,0,0
"2016-02-25 15:00:00",1,1000.757,43.9377,5.897038,1.568102,0.9705331,3.62687,763.2357,4.689097,0,0,-85.1201,-11.23973,6.484019,6.725657,89.29944,16.432,62.52071,65.3072,58.76544,12.88048,20.70323,17.65081,0,13.9356,13.88147,13.7295,0,8.28148,0.3579548,-0.115451,-0.05497833,1000.703,42.81062,5.791809,3.279448,756.1545,4.510991,-90.5201,-13.3385,6.352144,6.605134,76.91898,0.08594178,58.66647,61.2739,54.43277,"NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN",7.842987,-0.54,-1.51,-1.34,1000.826,45.9783,5.990387,3.839527,766.9738,5.234478,-82.05233,-9.170281,6.621865,6.879087,100.481,19.44407,66.58036,69.54505,63.31018,"NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN",8.47821,2.24,1.54,0.75,0.02462243,14.34356,0.03341487,0.1667535,1.057163,0.1042158,2.291065,0.7555506,0.08458846,0.06126758,5.019174,1.082043,2.237074,2.342463,2.512372,0.875586,1.913053,1.966964,0,0.9473002,1.282699,1.529972,0,0.07956001,0.3854089,0.3738022,0.2011907,0,0
"2016-02-25 15:10:00",2,996.78,41.55793,5.906055,0.6837859,-0.06772088,2.714876,761.6204,4.511453,0,0,-93.72346,-13.82207,6.336438,6.572016,68.48911,12.70652,54.36312,56.666,50.005,0,0,0,0,0,0,0,0,8.409822,0.6072128,0.5541815,-0.0814411,0,0,0,0,0,0,-95.4874,-15.84,0,0,0,0,0,0,0,"NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN",0,-1.56,-1.48,-1.97,1000.847,44.35549,6.035248,3.013618,763.0868,4.977569,0,0,6.441648,6.677503,80.3889,14.58374,93.09791,92.73386,94.33443,"NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN",8.74588,3.17,2.78,1.57,59.14354,2.582718,0.3517943,0.2246251,9.223471,0.108274,5.615386,1.026204,0.3770787,0.3911238,6.512957,1.210746,6.073153,5.880766,6.901001,0,0,0,0,0,0,0,0,0.1447415,0.6397331,0.6734716,0.4165106,0,0
"2016-02-25 15:30:00",3,999.2808,43.2768,5.820753,0.80655,0.05063294,1.402146,760.34,4.635362,0,0,-92.0573,-17.14271,5.888774,6.119218,45.33911,7.225284,39.58077,41.98623,33.86233,14.23,20.8,18.12,18.14,12,12,11.7,12.2,8.465205,0.3114635,-0.1835828,0.04182655,999.2057,40.25623,5.642944,1.133085,754.83,4.400498,-94.61287,-19.17514,5.668771,1.024633,40.19338,0.05288976,35.6466,38.20164,29.52237,14.23,20.8,18.12,18.14,12,12,11.7,12.2,7.141693,-1.66,-1.39,-1.34,999.3466,431.1378,6.020447,1.927074,766.4502,5.032709,-88.18941,-15.00655,6.129393,6.327148,51.282,11.80575,43.50497,45.7876,38.17791,14.23,20.8,18.12,18.14,12,12,11.7,12.2,8.712402,1.69,0.95,1.17,0.02693837,68.37566,0.08727682,0.1847709,1.556152,0.1174824,1.914857,0.7704903,1.134261,0.1085977,1.877956,1.030936,2.253287,2.168769,2.491289,0,0,0,0,0,0,0,0,0.1531726,0.4147459,0.4671905,0.2141745,0,0
"2016-02-25 15:40:00",4,999.3305,43.99413,5.583634,0.5711931,-0.1721464,1.528803,760.8216,4.648619,0,0,-80.33092,-15.3517,5.581622,5.807473,48.90525,9.005565,31.35522,34.12915,24.86829,14.51877,20.77023,18.13978,18.209,11.40255,11.00769,11.10659,11.60858,8.248399,0.620815,-0.02284501,-0.02324344,999.2727,42.40057,5.355103,1.14986,758.7319,4.464924,-89.06547,-18.75867,5.382319,1.023058,40.88804,6.944627,27.12313,30.08788,20.31104,14.23,20.77,18.12,18.14,11.4,11,11.1,11.6,7.742737,-0.78,-1.31,-1.42,999.3782,462.85,5.753967,1.794434,764.4733,4.9742,-69.21021,-12.92284,5.734488,5.97256,55.44251,11.11174,35.6466,38.20164,29.52237,14.52,20.8,18.14,18.21,12,12,11.7,12.2,8.645447,2.85,2.25,1.41,0.01696928,68.28725,0.08137398,0.1335975,0.9622588,0.09067612,5.735713,0.9277332,1.12887,0.08498212,2.787182,0.8825936,2.43752,2.324377,2.622881,0.01870971,0.002608365,0.002084874,0.008289186,0.03870995,0.08694891,0.06255042,0.07105049,0.1293496,0.4647118,0.4486388,0.2775463,0,0
"2016-02-25 15:50:00",5,1000.534,45.6993,5.367012,0.5489864,0.006687829,2.350268,761.9333,4.745619,0,0,-59.74,-11.51818,5.362251,5.606277,49.65282,9.90041,22.7944,25.9334,15.8777,14.76892,20.74023,18.14989,18.23956,10.90215,10.00774,10.50662,11.00868,8.125007,0.2698977,-0.3550807,-0.02827658,999.3022,44.11765,5.267578,1.769346,757.2193,4.569796,-69.79426,-15.42399,5.259151,5.495005,41.58319,8.333787,18.59935,21.92117,11.65427,14.52,20.74,18.14,18.21,10.9,10,10.5,11,7.442169,-0.97,-1.76,-1.49,1000.969,475.8756,5.502319,2.781754,773.6824,5.330019,-0.7834595,-8.754494,5.49057,5.703041,56.82816,11.11194,27.12313,30.08788,20.31104,14.77,20.77,18.15,18.24,11.4,11,11.1,11.6,8.377869,2.16,0.78,0.77,0.6438655,68.06934,0.04060943,0.2693973,1.720157,0.1002066,5.08539,1.372615,0.09745192,0.04260774,2.753855,0.6280476,2.445835,2.357867,2.489434,0.01624343,0.002617611,0.001044746,0.003582419,0.03248685,0.08725137,0.06268346,0.07164714,0.09491853,0.3880654,0.3110317,0.2226626,0,0
"2016-02-25 16:00:00",6,1000.966,46.1438,5.33721,0.5228018,-0.01973696,2.820512,762.4761,4.749456,0,0,-50.47662,-9.216097,5.284033,5.521778,43.23923,8.984405,14.65988,17.98536,8.025635,14.97911,20.71023,18.16978,18.28928,10.5017,10,10.10447,10.50724,8.143896,0.3545389,-0.1502708,-0.002070057,1000.91,44.63391,5.231445,2.698189,759.0009,4.589254,-53.15114,-11.25557,5.19545,5.43332,0.2148772,7.639549,11.01596,14.33342,4.77282,14.77,20.71,18.15,18.24,10.5,10,10.1,10.5,7.508911,-1.52,-1.66,-1.31,1001.023,469.3506,5.472717,2.924458,776.6064,5.502326,-0.5752097,-7.503828,5.348453,5.603256,49.20587,11.11196,18.59935,21.92117,11.70977,14.98,20.74,18.17,18.29,10.9,10,10.5,11,8.377869,1.45,1.39,0.9,0.02198727,70.29262,0.03232539,0.0502052,2.043467,0.1381751,1.247241,0.5531961,0.0890012,0.7935967,2.142141,0.6075263,2.173533,2.156268,1.974996,0.01365139,0.002630289,0.002103115,0.005973674,0.02600307,0,0.04206112,0.05973538,0.09843273,0.4119666,0.4942464,0.2341654,0,0
"2016-02-25 16:10:00",7,1001.045,46.9184,5.302072,1.122823,0.351863,2.431497,764.2141,4.826205,0,0,-54.08764,-10.47373,5.197991,5.436967,35.52795,7.303741,7.863906,11.1679,2.223926,15.14928,20.68023,18.18978,18.31956,10.1017,9.900774,9.813223,10.20438,8.143835,0.3165786,-0.4726574,-0.003849107,1000.974,44.83519,5.195313,2.285183,760.2875,4.649144,-55.78024,-12.50664,5.095665,1.021319,29.1087,5.556141,4.98221,8.273532,-0.05549922,14.98,20.68,18.17,18.29,10.1,9.9,9.81,10.2,7.575714,-0.41,-1.27,-0.71,1001.124,48.89845,5.427856,2.732391,778.8734,5.509701,-51.10709,-7.920757,5.308136,5.543788,42.27638,9.723158,11.01596,14.33342,4.77282,15.15,20.71,18.19,18.32,10.5,10,10.1,10.5,8.344391,1.22,0.92,1.01,0.0282353,15.70167,0.03906263,0.1165784,1.993365,0.1212598,1.300303,0.7433231,1.127317,0.7947806,2.43125,0.701363,1.718867,1.736956,1.388152,0.01096338,0.002618727,0.002090544,0.003592162,0.02579598,0.008729521,0.03031234,0.03592323,0.08018415,0.2301074,0.2797211,0.1457447,0,0
