"TOA5","EBM1","CR3000","8941","CR3000.Std.27","CPU:KC.EBM1_16.02.18.CR3","16128","DAS1"
"TIMESTAMP","RECORD","BARO_P_SUR","HMP_M_RH","HMP_T_AIR","INK_G_INKS","INK_G_INKW","KT_T_SUR","OMB_N_N_001_Tot","OMB_N_N_002_Tot","PYG_R_LWDP","PYG_R_LWUP","PYG_T_BOT","PYG_T_TOP","PYR_R_SWDR","PYR_R_SWUR","SHF_F_SHF_001","SHF_F_SHF_002","SHF_F_SHF_003"
"TS","RN","hPa","%","Deg C","degree","degree","Deg C","mm/s","mm/s","W/m**2","W/m**2","Deg C","Deg C","W/m**2","W/m**2","W/m**2","W/m**2","W/m**2"
"","","Smp","Smp","Smp","Smp","Smp","Smp","Tot","Tot","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp"
"2016-02-25 14:48:37",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2016-02-25 14:48:38",1,1000.824,43.21321,5.84494,0.8147306,0.05650616,3.760418,0,0,-85.55821,-10.83779,6.621865,6.87687,99.78944,18.74983,79.8082,81.50502,83.50763
"2016-02-25 14:48:39",2,1000.819,43.24826,5.95816,0.7562141,0.01859474,3.731155,0,0,-85.2662,-11.25463,6.619648,6.83877,99.09646,18.74983,88.05469,89.30253,87.78011
"2016-02-25 14:48:40",3,1000.804,43.30333,5.872803,0.7867088,0.01364994,3.739511,0,0,-85.55821,-10.83779,6.621865,6.898036,99.09646,18.74983,84.40189,86.4575,84.33993
"2016-02-25 14:48:41",4,1000.799,43.38676,5.851471,0.7982473,0.0202446,3.747875,0,0,-85.2662,-12.50514,6.577315,6.919203,99.09646,18.05539,81.19185,83.55978,81.1217
"2016-02-25 14:48:42",5,1000.799,43.45018,5.872803,0.7232485,-0.03085423,3.752056,0,0,-85.2662,-11.67146,6.660166,6.917187,100.4824,18.05539,78.97803,81.45234,78.73576
"2016-02-25 14:48:43",6,1000.814,43.5987,5.849274,0.7858849,0.0251894,3.739511,0,0,-85.55821,-10.42095,6.641016,6.900254,99.78944,18.05539,77.20697,79.71371,76.68275
"2016-02-25 14:48:44",7,1000.828,43.75724,5.894135,0.7867088,0.03013325,3.747875,0,0,-85.2662,-10.83779,6.641016,6.855502,98.40348,18.05539,75.76798,78.29118,75.01815
"2016-02-25 14:48:45",8,1000.809,43.93747,5.872803,0.7784672,0.01364994,3.756237,0,0,-85.55821,-11.25463,6.617632,6.900254,93.5526,19.44427,74.60573,77.18478,73.52
"2016-02-25 14:48:46",9,1000.799,44.11436,5.849274,0.7141838,-0.03909588,3.747875,0,0,-84.9742,-11.25463,6.621865,6.923638,99.09646,18.05539,73.72021,76.28912,72.41027
"2016-02-25 14:48:47",10,1000.814,44.25954,5.874969,0.7858849,-0.002833366,3.764597,0,0,-84.9742,-11.25463,6.638798,6.921421,100.4824,17.36095,72.89002,75.49883,71.467
"2016-02-25 14:48:48",11,1000.789,44.39806,5.896301,0.7759953,-0.003657341,3.731155,0,0,-85.55821,-11.67146,6.619648,6.872435,100.4824,18.05539,72.28122,74.91929,70.63469
"2016-02-25 14:48:49",12,1000.799,44.58996,5.851471,0.781764,0.01941872,3.735334,0,0,-85.2662,-10.83779,6.624083,6.874653,98.40348,18.74983,71.67242,74.33974,69.91336
"2016-02-25 14:48:50",13,1000.799,44.73849,5.887604,0.7372599,-0.0267334,3.722794,0,0,-85.2662,-11.25463,6.6644,6.879087,98.40348,18.05539,71.285,73.97095,69.30301
"2016-02-25 14:48:51",14,1000.789,44.89535,5.855835,0.7455006,0.03507805,3.752056,0,0,-85.2662,-10.83779,6.624083,6.881305,94.93857,18.05539,70.84224,73.54946,68.80363
"2016-02-25 14:48:52",15,1000.799,44.96878,5.872803,0.7644567,0.00705719,3.789679,0,0,-85.2662,-10.83779,6.643032,6.902472,101.1754,17.36095,70.51016,73.23335,68.30424
"2016-02-25 14:48:53",16,1000.784,45.02719,5.872803,0.7759953,0.005409241,3.772959,0,0,-85.2662,-10.83779,6.621865,6.900254,98.40348,17.36095,70.23344,72.91723,67.91584
"2016-02-25 14:48:54",17,1000.804,45.11731,5.825775,0.7595119,0.01282597,3.735334,0,0,-84.9742,-11.67146,6.643032,6.857719,100.4824,18.05539,69.95671,72.70648,67.58292
"2016-02-25 14:48:55",18,1000.774,45.12898,5.894135,0.7850609,0.03095818,3.764597,0,0,-85.2662,-10.42095,6.621865,6.853486,98.40348,18.74983,69.73533,72.49574,67.19452
"2016-02-25 14:48:56",19,1000.799,45.21743,5.915466,0.758688,0.0251894,3.756237,0,0,-84.9742,-10.83779,6.619648,6.921421,98.40348,18.05539,69.51395,72.285,66.97256
"2016-02-25 14:48:57",20,1000.759,45.30922,5.832306,0.7496214,0.01447487,3.739511,0,0,-84.68218,-11.67146,6.638798,6.900254,99.09646,18.05539,69.40326,72.12694,66.75062
"2016-02-25 14:48:58",21,1000.789,45.44939,5.894135,0.7694016,0.002111435,3.726974,0,0,-84.68218,-12.0883,6.643032,6.851269,99.09646,18.05539,69.18187,71.96888,66.47318
"2016-02-25 14:48:59",22,1000.799,45.49278,5.874969,0.7677526,0.02766132,3.731155,0,0,-84.9742,-11.67146,6.617632,6.879087,98.40348,18.05539,69.01584,71.86351,66.30672
"2016-02-25 14:49:00",23,1000.814,45.5345,5.891937,0.7644567,0.01447487,3.777138,0,0,-84.68218,-11.25463,6.638798,6.853486,95.63155,18.74983,68.96049,71.70546,66.14027
"2016-02-25 14:49:01",24,1000.804,45.52282,5.915466,0.7339621,-0.02426052,3.756237,0,0,-84.68218,-10.83779,6.605134,6.813169,98.40348,17.36095,68.79446,71.60008,65.9738
"2016-02-25 14:49:02",25,1000.794,45.5295,5.894135,0.783412,0.03013325,3.764597,0,0,-84.9742,-10.83779,6.624083,6.855502,99.09646,18.05539,68.68376,71.49471,65.86283
"2016-02-25 14:49:03",26,1000.799,45.57455,5.917664,0.7520943,-0.002008438,3.764597,0,0,-84.68218,-10.83779,6.641016,6.87687,97.71049,17.36095,68.62842,71.44202,65.69637
"2016-02-25 14:49:04",27,1000.779,45.53284,5.894135,0.7677526,0.02683735,3.793859,0,0,-84.68218,-11.25463,6.619648,6.938555,96.32453,18.05539,68.51773,71.33665,65.5854
"2016-02-25 14:49:05",28,1000.779,45.51781,5.915466,0.7438526,-0.01766682,3.777138,0,0,-84.9742,-11.25463,6.600698,6.853486,98.40348,18.74983,68.40704,71.23129,65.47442
"2016-02-25 14:49:06",29,1000.814,45.48944,5.891937,0.7801161,0.02436447,3.781319,0,0,-84.68218,-10.00411,6.555947,6.857719,99.09646,18.74983,68.29635,71.1786,65.36345
"2016-02-25 14:49:07",30,1000.794,45.4277,5.874969,0.7875328,0.01777077,3.777138,0,0,-84.68218,-11.67146,6.638798,6.900254,98.40348,18.05539,68.241,71.12592,65.25247
"2016-02-25 14:49:08",31,1000.784,45.33591,5.874969,0.7265453,-0.01931667,3.781319,0,0,-84.68218,-10.83779,6.621865,6.919203,98.40348,16.66651,68.18566,71.02054,65.1415
"2016-02-25 14:49:09",32,1000.814,45.27417,5.896301,0.7298422,-0.04486465,3.764597,0,0,-84.39018,-11.25463,6.641016,6.919203,96.32453,19.44427,68.07496,71.02054,65.08601
"2016-02-25 14:49:10",33,1000.784,45.14734,5.879364,0.7611599,0.002111435,3.789679,0,0,-84.68218,-10.00411,6.598481,6.900254,95.63155,18.74983,68.07496,70.91516,65.03053
"2016-02-25 14:49:11",34,1000.809,45.04554,5.874969,0.7611599,0.002111435,3.7855,0,0,-85.2662,-11.25463,6.600698,6.815387,97.71049,18.05539,68.01962,70.91516,64.91955
"2016-02-25 14:49:12",35,1000.809,44.91538,5.849274,0.7982473,0.01035404,3.764597,0,0,-84.68218,-11.25463,6.596264,6.919203,97.71049,17.36095,67.96427,70.80979,64.91955
"2016-02-25 14:49:13",36,1000.779,44.81025,5.853638,0.7273693,-0.05805206,3.79804,0,0,-84.68218,-10.83779,6.645249,6.919203,98.40348,17.36095,67.85358,70.80979,64.80858
"2016-02-25 14:49:14",37,1000.789,44.67007,5.872803,0.781764,-0.0003604889,3.777138,0,0,-84.68218,-11.25463,6.645249,6.87687,97.71049,18.05539,67.85358,70.70442,64.69761
"2016-02-25 14:49:15",38,1000.819,44.57661,5.851471,0.7520943,0.01117802,3.7855,0,0,-84.39018,-11.25463,6.617632,6.874653,94.24559,18.05539,67.85358,70.70442,64.69761
"2016-02-25 14:49:16",39,1000.819,44.45313,5.874969,0.7487974,0.02271652,3.8064,0,0,-84.39018,-10.83779,6.596264,6.834336,99.09646,18.05539,67.74289,70.70442,64.58663
"2016-02-25 14:49:17",40,1000.819,44.35967,5.849274,0.7809401,0.01941872,3.772959,0,0,-84.39018,-10.42095,6.600698,6.900254,97.71049,18.05539,67.68755,70.59905,64.58663
"2016-02-25 14:49:18",41,1000.794,44.29793,5.827942,0.7759953,0.01941872,3.789679,0,0,-84.68218,-12.0883,6.617632,6.921421,97.71049,17.36095,67.6322,70.59905,64.53114
"2016-02-25 14:49:19",42,1000.819,44.21783,5.934601,0.7990713,0.01612282,3.79804,0,0,-84.39018,-11.25463,6.600698,6.919203,97.01752,18.74983,67.6322,70.54637,64.47566
"2016-02-25 14:49:20",43,1000.794,44.16609,5.891937,0.7479734,0.01447487,3.781319,0,0,-84.39018,-11.25463,6.621865,6.895819,96.32453,18.05539,67.57685,70.49368,64.47566
"2016-02-25 14:49:21",44,1000.812,44.11405,5.874969,0.7527561,0.0217371,3.785183,0,0,-84.68132,-12.08818,6.558164,6.815387,97.01652,18.0552,67.57658,70.4407,64.36443
"2016-02-25 14:49:22",45,1000.807,44.06733,5.872803,0.7609978,0.002781868,3.806086,0,0,-84.68132,-10.00401,6.643032,6.919203,99.78842,17.36077,67.52123,70.4407,64.36443
"2016-02-25 14:49:23",46,1000.792,44.04229,5.870605,0.7700634,0.009374619,3.806086,0,0,-84.38931,-10.83768,6.6263,6.898036,94.93759,17.36077,67.46589,70.38802,64.25346
"2016-02-25 14:49:24",47,1000.787,44.04563,5.936829,0.7873707,0.009374619,3.772638,0,0,-84.68132,-10.83768,6.621865,6.87687,96.32355,18.0552,67.41055,70.38802,64.25346
