"TOA5","EBM1","CR3000","8941","CR3000.Std.27","CPU:KC.EBM1_16.02.18.CR3","16128","DAS2"
"TIMESTAMP","RECORD","SONIC_T_VIR","SONIC_V_U","SONIC_V_V","SONIC_V_W","LICOR_D_CD","LICOR_M_AH"
"TS","RN","Deg C","m/s","m/s","m/s","mg/m**3","g/m**3"
"","","Smp","Smp","Smp","Smp","Smp","Smp"
"2016-02-25 14:48:36.76",0,8.277527,0.68,0.15,0.42,762.0303,4.6801
"2016-02-25 14:48:36.8",1,8.24408,0.7,0.03,0.3,761.878,4.682412
"2016-02-25 14:48:36.88",2,8.277527,0.55,0.09,0.31,762.0018,4.680709
"2016-02-25 14:48:36.92",3,8.277527,0.47,0.2,0.31,761.8914,4.684526
"2016-02-25 14:48:36.96",4,8.277527,0.46,0.14,0.28,761.9133,4.692356
"2016-02-25 14:48:37",5,8.210632,0.42,0.09,0.35,761.9025,4.696963
"2016-02-25 14:48:37.08",6,8.277527,0.51,0.19,0.27,761.8416,4.69718
"2016-02-25 14:48:37.12",7,8.277527,0.36,0.23,0.33,761.7534,4.701172
"2016-02-25 14:48:37.16",8,8.24408,0.44,0.08,0.5,761.8087,4.700504
"2016-02-25 14:48:37.2",9,8.277527,0.61,-0.07,0.57,761.7056,4.708214
"2016-02-25 14:48:37.24",10,8.24408,0.59,0.25,0.61,761.7972,4.707081
"2016-02-25 14:48:37.28",11,8.277527,0.61,0.17,0.6,761.8314,4.707309
"2016-02-25 14:48:37.36",12,8.277527,0.59,0.09,0.61,761.7837,4.704422
"2016-02-25 14:48:37.4",13,8.24408,0.53,0.04,0.67,761.8101,4.708131
"2016-02-25 14:48:37.44",14,8.210632,0.52,0.11,0.74,761.7974,4.706138
"2016-02-25 14:48:37.48",15,8.24408,0.49,0.22,0.68,761.8076,4.701666
"2016-02-25 14:48:37.52",16,8.277527,0.4,0.38,0.59,761.8367,4.703018
"2016-02-25 14:48:37.56",17,8.277527,0.4,0.33,0.56,761.8369,4.703165
"2016-02-25 14:48:37.64",18,8.277527,0.35,0.41,0.42,761.8545,4.700579
"2016-02-25 14:48:37.68",19,8.310974,0.41,0.35,0.38,761.8267,4.701334
"2016-02-25 14:48:37.72",20,8.24408,0.43,0.08,0.5,761.647,4.707255
"2016-02-25 14:48:37.76",21,8.177185,0.43,0.01,0.62,761.6889,4.706851
"2016-02-25 14:48:37.8",22,8.177185,0.28,0.02,0.54,761.7673,4.705808
"2016-02-25 14:48:37.84",23,8.210632,0.23,0.09,0.52,761.7938,4.70309
"2016-02-25 14:48:37.92",24,8.210632,0.19,0.1,0.53,761.7509,4.706604
"2016-02-25 14:48:37.96",25,8.177185,0.31,0.02,0.58,761.6799,4.708803
"2016-02-25 14:48:38",26,8.143768,0.35,-0.03,0.63,761.6166,4.713644
"2016-02-25 14:48:38.04",27,8.177185,0.46,-0.05,0.69,761.6624,4.707017
"2016-02-25 14:48:38.12",28,8.143768,0.48,-0.21,0.74,761.3953,4.708364
"2016-02-25 14:48:38.16",29,8.143768,0.4,-0.29,0.65,761.4549,4.708685
"2016-02-25 14:48:38.2",30,8.177185,0.43,-0.53,0.46,761.4973,4.707916
