"TOA5","EBM1","CR3000","8941","CR3000.Std.27","CPU:KC.EBM1_16.02.18.CR3","16128","DAS3"
"TIMESTAMP","RECORD","SMT_M_SOIL_001","SMT_M_SOIL_002","SMT_M_SOIL_003","SMT_M_SOIL_004","SMT_T_SOIL_001","SMT_T_SOIL_002","SMT_T_SOIL_003","SMT_T_SOIL_004"
"TS","RN","","","","","","","",""
"","","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp"
"2016-02-25 14:50:00",0,12.94,20.88,17.87,"NAN",14,14,13.9,"NAN"
"2016-02-25 15:00:00",1,13.48,20.86,18,"NAN",13.4,13,13.2,"NAN"
"2016-02-25 15:10:00",2,13.89,20.84,18.07,18.03,12.8,12,12.6,13
"2016-02-25 15:20:00",3,14.23,20.8,18.12,18.14,12,12,11.7,12.2
"2016-02-25 15:30:00",4,14.52,20.77,18.14,18.21,11.4,11,11.1,11.6
"2016-02-25 15:40:00",5,14.77,20.74,18.15,18.24,10.9,10,10.5,11
"2016-02-25 15:50:00",6,14.98,20.71,18.17,18.29,10.5,10,10.1,10.5
"2016-02-25 16:00:00",7,15.15,20.68,18.19,18.32,10.1,9.9,9.81,10.2
"2016-02-25 16:10:00",8,15.29,20.66,18.19,18.34,9.71,9.5,9.34,9.81
"2016-02-25 16:20:00",9,15.39,20.64,18.19,18.36,9.36,9.1,9.04,9.52
"2016-02-25 16:30:00",10,15.47,20.61,18.2,18.36,8.99,8.7,8.66,9.11
"2016-02-25 16:40:00",11,15.53,20.6,18.2,18.37,8.61,8.3,8.28,8.7
"2016-02-25 16:50:00",12,15.59,20.57,18.19,18.37,8.16,7.9,7.9,8.3
"2016-02-25 17:00:00",13,15.64,20.55,18.19,18.37,7.77,7.5,7.52,7.87
"2016-02-25 17:10:00",14,15.68,20.54,18.19,18.37,7.31,7.1,7.16,7.49
"2016-02-25 17:20:00",15,15.72,20.52,18.18,18.37,6.95,6.7,6.82,7.09
"2016-02-25 17:30:00",16,15.74,20.51,18.17,18.37,6.51,6.3,6.43,6.68
"2016-02-25 17:40:00",17,15.76,20.49,18.17,18.37,6.08,5.9,6.02,6.25
"2016-02-25 17:50:00",18,15.79,20.49,18.16,18.37,5.77,5.5,5.68,5.91
"2016-02-25 18:00:00",19,15.8,20.47,18.16,18.38,5.37,5.1,5.34,5.5
"2016-02-25 18:10:00",20,15.82,20.47,18.15,18.38,4.99,4.7,5.02,5.15
