"TOA5","EBM1","CR3000","8941","CR3000.Std.27","CPU:KC.EBM1_16.02.18.CR3","16128","DAX"
"TIMESTAMP","RECORD","HMP_D_AIR_Avg","HMP_M_AH_Avg","HMP_M_E_Avg","HMP_M_SH_Avg","HMP_T_VIR_Avg","LICOR_F_CD_Avg","LICOR_F_CWAH_Avg","PYG_R_LWDR_Avg","PYG_R_LWUR_Avg","PYG_R_QSUR_Avg","SHF_F_SHF_000_Avg","SONIC_F_CUW_Avg","SONIC_F_CVW_Avg","SONIC_F_CWT_Avg","SONIC_F_HSUR_Avg","SONIC_F_LSUR_Avg","SONIC_V_VHOR_Avg","SONIC_V_WD_Avg"
"TS","RN","kg/m**3","g/m**3","hPa","g/kg","K","mg/(m**2s)","g/(m**2s)","W/m**2","W/m**2","W/m**2","W/m**2","m**2/s**2","m**2/s**2","K m/s","W/m**2","W/m**2","m/s","degree"
"","","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg"
"2016-02-25 14:50:00",0,1.247911,3.193114,4.081059,2.558768,279.4306,-0.07334137,0.006224692,264.3176,336.1401,7.082764,68.72935,-0.005605835,-0.001435173,-0.006818533,-8.542956,15.56173,0.9584877,321.4227
"2016-02-25 15:00:00",1,1.24767,3.174762,4.087695,2.544552,279.4888,-0.0126524,0.006176963,262.7306,335.4873,0.1112671,62.19716,-0.02377541,-0.01389269,-0.001970649,-2.468555,15.44241,0.376116,312.1243
"2016-02-25 15:10:00",2,1.24763,3.012588,3.863903,2.414649,279.4758,-0.07561493,0.005329072,253.355,332.1379,-23.00031,53.67751,-0.04476814,-0.03081069,-0.001253009,-1.569544,13.32268,0.8220855,12.3856
"2016-02-25 15:20:00",3,1.245848,3.008286,3.863903,2.414649,279.4758,-0.07561493,0.005329072,253.355,332.1379,-23.00031,53.67751,-0.04476814,-0.03081069,-0.001253009,-1.567303,13.32268,0.8220855,12.3856
"2016-02-25 15:30:00",4,1.246179,3.117383,4.012796,2.501553,279.4051,-0.0205071,0.002626762,252.8098,326.6068,-35.68359,38.47637,-0.01644114,0.01000813,-0.003691244,-4.618353,6.566905,0.3615701,299.4948
"2016-02-25 15:40:00",5,1.247305,3.113847,4.004837,2.496459,279.1667,0.03743756,0.007607103,263.0017,326.8543,-23.95285,30.11727,-0.03440192,-0.01553773,-0.006784578,-8.49629,19.01776,0.6212373,327.8924
"2016-02-25 15:50:00",6,1.250228,3.191839,4.100343,2.553006,278.9594,0.05265491,0.006803895,282.5683,329.6434,-7.32312,21.53496,-0.02925236,-0.01164884,-0.005078869,-6.375143,17.00974,0.4460123,277.2387
"2016-02-25 16:00:00",7,1.250398,3.205248,4.118758,2.563383,278.9313,-0.02389799,0.000866455,291.414,331.5931,-5.924011,13.55684,-0.02997477,-0.004966155,0.001486138,1.865696,2.166137,0.3850705,307.0303
"2016-02-25 16:10:00",8,1.250681,3.255643,4.182796,2.603095,278.9028,0.03908229,0.004083432,287.4202,329.9471,-14.30206,7.085186,-0.007098258,-0.002349079,-0.001778014,-2.232624,10.20858,0.5688823,273.8136
"2016-02-25 16:20:00",9,1.251239,3.313402,4.254247,2.648096,278.8093,0.0762834,0.003936512,290.0226,329.5429,-13.79987,2.086656,-0.002274472,-0.00789851,-0.001570044,-1.972359,9.841281,0.3180262,283.7171
"2016-02-25 16:30:00",10,1.25191,3.312346,4.25203,2.645834,278.6613,0.03246594,0.002465211,285.8839,327.2924,-22.4776,-2.016522,-0.008646067,-0.005730863,-0.0003011618,-0.3785355,6.163026,0.5060094,280.9733
"2016-02-25 16:40:00",11,1.252769,3.414809,4.380572,2.725809,278.4883,0.05986664,0.002649442,272.5741,321.938,-37.07455,-5.668289,-0.0004464346,-0.001110008,-0.001189886,-1.496615,6.623606,0.4430193,266.5359
"2016-02-25 16:50:00",12,1.254299,3.396383,4.352005,2.707795,278.1804,0.1671402,0.004568686,275.7965,319.2757,-36.02814,-9.272015,0.001012752,0.002268764,-0.00701612,-8.83551,11.42171,0.3624131,283.3947
"2016-02-25 17:00:00",13,1.255899,3.536232,4.525579,2.815698,277.8539,0.06935421,0.001729943,277.4847,317.7467,-37.33386,-13.35646,-0.0001536952,-0.0009745022,-0.0004554592,-0.5742989,4.324858,0.5226297,255.3077
"2016-02-25 17:10:00",14,1.257705,3.425603,4.378355,2.723693,277.4741,-0.009763166,-0.0004355758,270.8532,313.7552,-43.24362,-18.02163,0.00118403,-0.0012985,0.000302624,0.3821342,-1.08894,0.5141546,242.5467
"2016-02-25 17:20:00",15,1.258606,3.29936,4.214662,2.621439,277.3001,0.008627623,0.0004426609,273.9307,313.8868,-41.35526,-23.05445,-0.0003772789,0.0004206862,-0.0002847705,-0.3598476,1.106652,0.5552538,245.4876
"2016-02-25 17:30:00",16,1.259984,3.358395,4.285763,2.665427,277.0288,-0.00954783,4.670257E-005,259.0706,310.4214,-54.13943,-28.40811,0.002541662,-0.0005546426,0.0002009645,0.2542249,0.1167564,0.3674084,224.9356
"2016-02-25 17:40:00",17,1.262197,3.458224,4.40467,2.739846,276.5565,0.007832453,0.0001682802,267.9114,310.2833,-45.19952,-33.92978,0.00163288,0.0009430796,-0.0002138959,-0.2710586,0.4207005,0.2044561,252.8941
"2016-02-25 17:50:00",18,1.263976,3.448046,4.38544,2.727936,276.2139,0.06185982,0.000881575,276.5521,311.266,-36.85324,-39.73758,0.0004644553,0.0006442568,-0.0005257626,-0.6672095,2.203938,0.2821302,248.2041
"2016-02-25 18:00:00",19,1.265754,3.412601,4.336159,2.6961,275.8389,0.008279629,0.0001776495,262.8718,309.1671,-48.81882,-45.53805,0.0004765153,0.0002624342,-6.006332E-005,-0.07632951,0.4441239,0.1025488,297.5549
"2016-02-25 18:10:00",20,1.267113,3.409481,4.327808,2.690747,275.5574,0.01016451,0.0001285343,263.0668,307.7752,-47.64297,208.5871,-1.707544E-005,-0.0001343404,-6.63203E-005,-0.08437146,0.3213357,0.2160988,221.0689
"2016-02-25 18:20:00",21,1.267664,3.488139,4.425774,2.751628,275.4506,0.009558067,9.194709E-005,267.4757,307.5334,-42.67181,-42.81836,-6.464024E-005,-1.917917E-005,3.606064E-005,0.04589561,0.2298677,0.2298955,198.5801
"2016-02-25 18:30:00",22,1.268636,3.480657,4.413281,2.743622,275.2633,-0.02915853,-0.0002444871,271.7004,307.8158,-38.45938,-55.58321,-0.0005604323,0.0002117139,-4.641619E-005,-0.05912077,-0.6112179,0.2210257,186.7205
"2016-02-25 18:40:00",23,1.2692,3.493991,4.424679,2.752909,275.0429,0.03959602,0.0002884162,270.8277,307.4984,-38.97598,-62.1659,-0.0002473787,-0.0005069023,-0.0007605864,-0.9691974,0.7210404,0.2690197,199.2139
"2016-02-25 18:50:00",24,1.270269,3.502881,4.433228,2.75759,274.9078,0.01749547,0.0003565157,268.4835,306.9901,-40.70468,-66.88266,-0.000562972,0.0007139948,-0.004990553,-6.364702,0.8912892,0.2978283,168.604
"2016-02-25 19:00:00",25,1.271185,3.527017,4.463239,2.77459,274.7158,-0.00898366,-0.0002907797,272.1611,306.9867,-37.08917,-70.63041,-6.485842E-005,0.0007574465,0.003227021,4.118549,-0.7269493,0.3348096,168.5484
"2016-02-25 19:10:00",26,1.27199,3.569142,4.513644,2.80595,274.5474,-0.01565462,-0.0001371016,274.5752,307.3171,-34.67026,-73.7973,-3.00156E-005,-4.311046E-005,2.477225E-005,0.0316361,-0.3427539,0.1037402,182.1865
"2016-02-25 19:20:00",27,1.27252,3.548425,4.485677,2.788502,274.4273,0.03879106,0.000482535,273.2337,307.6143,-36.01254,-76.52209,0.0002776468,0.003537416,-0.0002097804,-0.2680176,1.206337,0.09891701,191.3888
"2016-02-25 19:30:00",28,1.273286,3.492863,4.412793,2.743188,274.2643,0.00414802,6.861021E-005,256.6816,304.7921,-50.69278,-78.78738,-0.0001127906,5.049945E-005,-0.00152019,-1.943379,0.1715255,0.1202725,128.6985
"2016-02-25 19:40:00",29,1.275182,3.519526,4.440182,2.760019,273.8987,-0.00492364,-3.417417E-005,250.3506,302.4365,-55.28635,-80.72142,-0.0004041545,0.0002043897,-6.476755E-005,-0.08292077,-0.08543542,0.04394242,240.9267
"2016-02-25 19:50:00",30,1.274083,3.563142,4.496929,2.796632,273.7292,0.01102191,9.243214E-005,242.2565,300.4025,-61.65092,-82.8186,-0.0004320964,0.0001599733,-0.0002806284,-0.3589742,0.2310803,0.2790109,187.6599
"2016-02-25 20:00:00",31,1.276693,3.551629,4.475545,2.781896,273.611,0.008951448,-0.000130931,237.2498,298.6051,-64.90547,-85.24086,-0.0004340436,0.0002606651,-0.0001262007,-0.1617641,-0.3273274,0.4135777,167.6716
"2016-02-25 20:10:00",32,1.278325,3.476293,4.376151,2.719411,273.2758,0.01407729,0.0001988075,239.1111,297.9467,-62.31601,-87.63214,-0.00100884,0.0009789595,0.0005498922,0.7057529,0.4970186,0.297508,164.7283
"2016-02-25 20:20:00",33,1.280227,3.410896,4.287779,2.664289,272.8778,0.01794585,9.549789E-006,240.5925,296.8953,-59.55508,-89.70293,-0.0005757099,-0.0001912132,-0.0005434452,-0.6985162,0.02387447,0.2561954,165.0248
"2016-02-25 20:30:00",34,1.281878,3.383664,4.248304,2.639615,272.5586,0.003004173,2.183437E-005,238.2325,295.5334,-60.83983,-91.37963,0.0003297036,-4.319002E-005,0.0002407452,0.3098403,0.05458593,0.1415189,162.2326
"2016-02-25 20:40:00",35,1.283141,3.407209,4.273817,2.655366,272.2918,0.007747333,4.935852E-005,239.4823,294.8566,-58.76894,-92.71906,-7.267279E-005,-0.0004013769,-0.000616333,-0.7940054,0.1233963,0.3171711,210.3414
