# MRR3   01-min-averaged integral parameters 
# measuring site: FZ Karlsruhe, 110 m MSL
# times in UTC, marking the end of the averaging intervals
# all heights in m AGL
# units: VZ [m/s], Z [dBZ], RR [mm/h], LWC [mm**3/m**3], NGES [m**-3], PIA [dB]
# lines with a "#" contain the timestamp of the following profiles
# Profile of predescribed vertical windspeed:
# m AGL:  200  400  600  800 1000 1200 1400 1600 1800 2000 2200 2400 2600 2800 3000 3200 3400 3600 3800 4000 4200 4400 4600 4800 5000 5200 5400 5600 5800 6000
#   m/s:  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0
# AGL      VZ       Z      RR     LWC        N0  Lambda      NGES       PIA
# 20160715000005
  200   8.705   0.604   0.006     2.8    -99  -9.999     573.7  -99.9900
  400 -99.990 -99.990   0.000     0.0    -99  -9.999       0.0  -99.9900
  600 -99.990 -99.990   0.000     0.0    -99  -9.999       0.0  -99.9900
  800 -99.990 -16.078   0.003     0.9    -99  -9.999     125.6  -99.9900
 1000 -99.990 -12.903   0.006     2.5    -99  -9.999     467.0  -99.9900
 1200 -99.990 -99.990   0.000     0.0    -99  -9.999       0.0  -99.9900
 1400 -99.990 -99.990   0.000     0.0    -99  -9.999       0.0  -99.9900
 1600 -99.990 -14.994   0.004     2.0    -99  -9.999     439.4  -99.9900
 1800 -99.990 -99.990   0.000     0.0    -99  -9.999       0.0  -99.9900
 2000 -99.990 -99.990   0.000     0.0    -99  -9.999       0.0  -99.9900
 2200 -99.990 -99.990   0.000     0.0    -99  -9.999       0.0  -99.9900
 2400 -99.990 -99.990   0.000     0.0    -99  -9.999       0.0  -99.9900
 2600 -99.990 -99.990   0.000     0.0    -99  -9.999       0.0  -99.9900
 2800 -99.990 -99.990   0.000     0.0    -99  -9.999       0.0  -99.9900
 3000 -99.990 -99.990   0.000     0.0    -99  -9.999       0.0  -99.9900
 3200 -99.990 -11.284   0.009     3.2    -99  -9.999     515.5  -99.9900
 3400 -99.990 -99.990   0.000     0.0    -99  -9.999       0.0  -99.9900
 3600 -99.990 -99.990   0.000     0.0    -99  -9.999       0.0  -99.9900
 3800 -99.990 -99.990   0.000     0.0    -99  -9.999       0.0  -99.9900
 4000 -99.990 -99.990   0.000     0.0    -99  -9.999       0.0  -99.9900
 4200 -99.990 -99.990   0.000     0.0    -99  -9.999       0.0  -99.9900
 4400 -99.990  -4.339   0.022    10.6    -99  -9.999    2779.4  -99.9900
 4600 -99.990 -99.990   0.000     0.0    -99  -9.999       0.0  -99.9900
 4800 -99.990 -99.990   0.000     0.0    -99  -9.999       0.0  -99.9900
 5000 -99.990 -99.990   0.000     0.0    -99  -9.999       0.0  -99.9900
 5200  11.353   0.717   0.000     0.0    -99  -9.999       0.0  -99.9900
 5400   6.216   0.354   0.076    32.8    -99  -9.999    7850.5  -99.9900
 5600 -99.990 -99.990   0.000     0.0    -99  -9.999       0.0  -99.9900
 5800   5.518  11.184   0.391    90.2 103983   8.809   13634.3  -99.9900
 6000 -99.990 -99.990   0.000     0.0    -99  -9.999       0.0  -99.9900
# 20160715000105
  200 -99.990  -0.321   0.019     7.3  70023  12.384    1313.3  -99.9900
  400 -99.990 -99.990   0.000     0.0    -99  -9.999       0.0  -99.9900
  600 -99.990 -99.990   0.000     0.0    -99  -9.999       0.0  -99.9900
  800 -99.990 -99.990   0.000     0.0    -99  -9.999       0.0  -99.9900
 1000 -99.990 -11.141   0.009     4.0    -99  -9.999     800.2  -99.9900
 1200 -99.990 -10.899   0.010     4.3    -99  -9.999     865.3  -99.9900
 1400 -99.990 -99.990   0.000     0.0    -99  -9.999       0.0  -99.9900
 1600 -99.990 -99.990   0.000     0.0    -99  -9.999       0.0  -99.9900
 1800 -99.990 -99.990   0.000     0.0    -99  -9.999       0.0  -99.9900
 2000 -99.990 -99.990   0.000     0.0    -99  -9.999       0.0  -99.9900
 2200 -99.990 -99.990   0.000     0.0    -99  -9.999       0.0  -99.9900
 2400 -99.990 -99.990   0.000     0.0    -99  -9.999       0.0  -99.9900
 2600 -99.990 -99.990   0.000     0.0    -99  -9.999       0.0  -99.9900
 2800 -99.990 -99.990   0.000     0.0    -99  -9.999       0.0  -99.9900
 3000 -99.990 -99.990   0.000     0.0    -99  -9.999       0.0  -99.9900
 3200 -99.990  -8.273   0.019     8.3    -99  -9.999    1745.7  -99.9900
 3400 -99.990 -99.990   0.000     0.0    -99  -9.999       0.0  -99.9900
 3600  11.342   2.654   0.000     0.0    -99  -9.999       0.0  -99.9900
 3800 -99.990 -99.990   0.000     0.0    -99  -9.999       0.0  -99.9900
 4000 -99.990 -99.990   0.000     0.0    -99  -9.999       0.0  -99.9900
 4200 -99.990 -99.990   0.000     0.0    -99  -9.999       0.0  -99.9900
 4400 -99.990 -99.990   0.000     0.0    -99  -9.999       0.0  -99.9900
 4600 -99.990 -99.990   0.000     0.0    -99  -9.999       0.0  -99.9900
 4800 -99.990 -99.990   0.000     0.0    -99  -9.999       0.0  -99.9900
 5000 -99.990 -99.990   0.000     0.0    -99  -9.999       0.0  -99.9900
 5200 -99.990 -99.990   0.000     0.0    -99  -9.999       0.0  -99.9900
 5400   7.211   4.724   0.050     8.8    -99  -9.999     498.4  -99.9900
 5600 -99.990 -99.990   0.000     0.0    -99  -9.999       0.0  -99.9900
 5800 -99.990 -99.990   0.000     0.0    -99  -9.999       0.0  -99.9900
 6000 -99.990 -99.990   0.000     0.0    -99  -9.999       0.0  -99.9900
# 20160715000205
  200 -99.990  -7.265   0.014     6.4    -99  -9.999    1260.8  -99.9900
  400 -99.990 -99.990   0.000     0.0    -99  -9.999       0.0  -99.9900
  600 -99.990 -99.990   0.000     0.0    -99  -9.999       0.0  -99.9900
  800 -99.990 -99.990   0.000     0.0    -99  -9.999       0.0  -99.9900
 1000 -99.990 -99.990   0.000     0.0    -99  -9.999       0.0  -99.9900
 1200 -99.990 -99.990   0.000     0.0    -99  -9.999       0.0  -99.9900
 1400 -99.990 -99.990   0.000     0.0    -99  -9.999       0.0  -99.9900
 1600 -99.990 -99.990   0.000     0.0    -99  -9.999       0.0  -99.9900
 1800 -99.990 -99.990   0.000     0.0    -99  -9.999       0.0  -99.9900
 2000 -99.990 -99.990   0.000     0.0    -99  -9.999       0.0  -99.9900
 2200 -99.990 -99.990   0.000     0.0    -99  -9.999       0.0  -99.9900
 2400 -99.990 -13.235   0.006     3.1    -99  -9.999     719.1  -99.9900
 2600 -99.990 -99.990   0.000     0.0    -99  -9.999       0.0  -99.9900
 2800 -99.990 -99.990   0.000     0.0    -99  -9.999       0.0  -99.9900
 3000 -99.990 -11.765   0.008     2.9    -99  -9.999     449.8  -99.9900
 3200 -99.990 -99.990   0.000     0.0    -99  -9.999       0.0  -99.9900
 3400 -99.990  -7.778   0.022     9.4    -99  -9.999    2002.2  -99.9900
 3600 -99.990 -99.990   0.000     0.0    -99  -9.999       0.0  -99.9900
 3800  11.453   5.435   0.000     0.0    -99  -9.999       0.0  -99.9900
 4000 -99.990 -99.990   0.000     0.0    -99  -9.999       0.0  -99.9900
 4200 -99.990 -99.990   0.000     0.0    -99  -9.999       0.0  -99.9900
 4400 -99.990 -99.990   0.000     0.0    -99  -9.999       0.0  -99.9900
 4600 -99.990 -99.990   0.000     0.0    -99  -9.999       0.0  -99.9900
 4800 -99.990 -99.990   0.000     0.0    -99  -9.999       0.0  -99.9900
 5000 -99.990 -99.990   0.000     0.0    -99  -9.999       0.0  -99.9900
 5200 -99.990 -99.990   0.000     0.0    -99  -9.999       0.0  -99.9900
 5400   6.585   5.754   0.031     2.2    -99  -9.999      15.7  -99.9900
 5600 -99.990 -99.990   0.000     0.0    -99  -9.999       0.0  -99.9900
 5800 -99.990 -99.990   0.000     0.0    -99  -9.999       0.0  -99.9900
 6000 -99.990 -99.990   0.000     0.0    -99  -9.999       0.0  -99.9900
# 20160715000305
  200 -99.990  -9.374   0.006     2.8    -99  -9.999     573.7  -99.9900
  400 -99.990 -99.990   0.000     0.0    -99  -9.999       0.0  -99.9900
  600 -99.990 -99.990   0.000     0.0    -99  -9.999       0.0  -99.9900
  800 -99.990 -99.990   0.000     0.0    -99  -9.999       0.0  -99.9900
 1000 -99.990 -15.917   0.003     1.0    -99  -9.999     133.8  -99.9900
 1200 -99.990 -99.990   0.000     0.0    -99  -9.999       0.0  -99.9900
 1400 -99.990 -99.990   0.000     0.0    -99  -9.999       0.0  -99.9900
 1600 -99.990 -99.990   0.000     0.0    -99  -9.999       0.0  -99.9900
 1800 -99.990 -11.574   0.008     3.6    -99  -9.999     695.1  -99.9900
 2000 -99.990 -99.990   0.000     0.0    -99  -9.999       0.0  -99.9900
 2200 -99.990 -99.990   0.000     0.0    -99  -9.999       0.0  -99.9900
 2400 -99.990  -8.464   0.018     8.1    -99  -9.999    1734.9  -99.9900
 2600 -99.990  -9.753   0.013     5.7    -99  -9.999    1159.1  -99.9900
 2800 -99.990 -99.990   0.000     0.0    -99  -9.999       0.0  -99.9900
 3000 -99.990 -99.990   0.000     0.0    -99  -9.999       0.0  -99.9900
 3200 -99.990 -99.990   0.000     0.0    -99  -9.999       0.0  -99.9900
 3400 -99.990  -7.778   0.022     9.4    -99  -9.999    2002.2  -99.9900
 3600 -99.990 -99.990   0.000     0.0    -99  -9.999       0.0  -99.9900
 3800 -99.990 -99.990   0.000     0.0    -99  -9.999       0.0  -99.9900
 4000 -99.990 -99.990   0.000     0.0    -99  -9.999       0.0  -99.9900
 4200 -99.990 -99.990   0.000     0.0    -99  -9.999       0.0  -99.9900
 4400 -99.990 -99.990   0.000     0.0    -99  -9.999       0.0  -99.9900
 4600 -99.990  -0.500   0.000     0.0    -99  -9.999       0.0  -99.9900
 4800 -99.990  -0.096   0.053    22.7    -99  -9.999    5247.8  -99.9900
 5000 -99.990 -99.990   0.000     0.0    -99  -9.999       0.0  -99.9900
 5200 -99.990 -99.990   0.000     0.0    -99  -9.999       0.0  -99.9900
 5400   4.151   5.874   0.128    21.5 233843  11.005    1260.2  -99.9900
 5600 -99.990 -99.990   0.000     0.0    -99  -9.999       0.0  -99.9900
 5800 -99.990  -0.232   0.000     0.0    -99  -9.999       0.0  -99.9900
 6000 -99.990 -99.990   0.000     0.0    -99  -9.999       0.0  -99.9900
# 20160715000405
  200   7.445   2.744   0.014     4.8  43866  12.060     869.7  -99.9900
  400 -99.990 -99.990   0.000     0.0    -99  -9.999       0.0  -99.9900
  600 -99.990 -99.990   0.000     0.0    -99  -9.999       0.0  -99.9900
  800 -99.990 -99.990   0.000     0.0    -99  -9.999       0.0  -99.9900
 1000 -99.990 -99.990   0.000     0.0    -99  -9.999       0.0  -99.9900
